country_code_cow,year,rile,party_strength,partyname,right_of_center
2,2007,25.903,0.5310344827586206,Republican Party,1.0
2,2008,11.14,0.5908045977011495,Democratic Party,1.0
2,2009,11.14,0.5908045977011495,Democratic Party,1.0
2,2010,11.14,0.5908045977011495,Democratic Party,1.0
2,2011,11.14,0.5908045977011495,Democratic Party,1.0
2,2012,27.957,0.5379310344827586,Republican Party,1.0
2,2013,27.957,0.5379310344827586,Republican Party,1.0
2,2014,27.957,0.5379310344827586,Republican Party,1.0
20,1970,,,,
20,1971,,,,
20,1972,-10.4,0.4128787878787879,Liberal Party of Canada,0.0
20,1973,-10.4,0.4128787878787879,Liberal Party of Canada,0.0
20,1974,3.4,0.5340909090909091,Liberal Party of Canada,
20,1975,3.4,0.5340909090909091,Liberal Party of Canada,
20,1976,3.4,0.5340909090909091,Liberal Party of Canada,
20,1977,3.4,0.5340909090909091,Liberal Party of Canada,
20,1978,3.4,0.5340909090909091,Liberal Party of Canada,
20,1979,17.1,0.48226950354609927,Progressive Conservative Party,1.0
20,1980,-2.4,0.5212765957446809,Liberal Party of Canada,
20,1981,-2.4,0.5212765957446809,Liberal Party of Canada,
20,1982,-2.4,0.5212765957446809,Liberal Party of Canada,
20,1983,-2.4,0.5212765957446809,Liberal Party of Canada,
20,1984,12.3,0.74822695035461,Progressive Conservative Party,1.0
20,1985,12.3,0.74822695035461,Progressive Conservative Party,1.0
20,1986,12.3,0.74822695035461,Progressive Conservative Party,1.0
20,1987,12.3,0.74822695035461,Progressive Conservative Party,1.0
20,1988,18.3,0.5728813559322034,Progressive Conservative Party,1.0
20,1989,18.3,0.5728813559322034,Progressive Conservative Party,1.0
20,1990,18.3,0.5728813559322034,Progressive Conservative Party,1.0
20,1991,18.3,0.5728813559322034,Progressive Conservative Party,1.0
20,1992,18.3,0.5728813559322034,Progressive Conservative Party,1.0
20,1993,4.036,0.6,Liberal Party of Canada,
20,1994,4.036,0.6,Liberal Party of Canada,
20,1995,4.036,0.6,Liberal Party of Canada,
20,1996,4.036,0.6,Liberal Party of Canada,
20,1997,6.338,0.5149501661129569,Liberal Party of Canada,
20,1998,6.338,0.5149501661129569,Liberal Party of Canada,
20,1999,6.338,0.5149501661129569,Liberal Party of Canada,
20,2000,-12.241,0.5714285714285714,Liberal Party of Canada,0.0
20,2001,-12.241,0.5714285714285714,Liberal Party of Canada,0.0
20,2002,-12.241,0.5714285714285714,Liberal Party of Canada,0.0
20,2003,-12.241,0.5714285714285714,Liberal Party of Canada,0.0
20,2004,-12.097,0.4383116883116883,Liberal Party of Canada,0.0
20,2005,-12.097,0.4383116883116883,Liberal Party of Canada,0.0
20,2006,16.493,0.4025974025974026,Conservative Party of Canada,1.0
20,2007,16.493,0.4025974025974026,Conservative Party of Canada,1.0
20,2008,9.062,0.4642857142857143,Conservative Party of Canada,
20,2009,9.062,0.4642857142857143,Conservative Party of Canada,
20,2010,9.062,0.4642857142857143,Conservative Party of Canada,
20,2011,26.265,0.538961038961039,Conservative Party of Canada,1.0
20,2012,26.265,0.538961038961039,Conservative Party of Canada,1.0
20,2013,26.265,0.538961038961039,Conservative Party of Canada,1.0
20,2014,26.265,0.538961038961039,Conservative Party of Canada,1.0
31,1973,,,,
31,1974,,,,
31,1975,,,,
31,1976,,,,
31,1977,,,,
31,1978,,,,
31,1979,,,,
31,1980,,,,
31,1981,,,,
31,1982,,,,
31,1983,,,,
31,1984,,,,
31,1985,,,,
31,1986,,,,
31,1987,,,,
31,1988,,,,
31,1989,,,,
31,1990,,,,
31,1991,,,,
31,1992,,,,
31,1993,,,,
31,1994,,,,
31,1995,,,,
31,1996,,,,
31,1997,,,,
31,1998,,,,
31,1999,,,,
31,2000,,,,
31,2001,,,,
31,2002,,,,
31,2003,,,,
31,2004,,,,
31,2005,,,,
31,2006,,,,
31,2007,,,,
31,2008,,,,
31,2009,,,,
31,2010,,,,
31,2011,,,,
31,2012,,,,
31,2013,,,,
31,2014,,,,
40,1970,,,,
40,1971,,,,
40,1972,,,,
40,1973,,,,
40,1974,,,,
40,1975,,,,
40,1976,,,,
40,1977,,,,
40,1978,,,,
40,1979,,,,
40,1980,,,,
40,1981,,,,
40,1982,,,,
40,1983,,,,
40,1984,,,,
40,1985,,,,
40,1986,,,,
40,1987,,,,
40,1988,,,,
40,1989,,,,
40,1990,,,,
40,1991,,,,
40,1992,,,,
40,1993,,,,
40,1994,,,,
40,1995,,,,
40,1996,,,,
40,1997,,,,
40,1998,,,,
40,1999,,,,
40,2000,,,,
40,2001,,,,
40,2002,,,,
40,2003,,,,
40,2004,,,,
40,2005,,,,
40,2006,,,,
40,2007,,,,
40,2008,,,,
40,2009,,,,
40,2010,,,,
40,2011,,,,
40,2012,,,,
40,2013,,,,
40,2014,,,,
41,1970,,,,
41,1971,,,,
41,1972,,,,
41,1973,,,,
41,1974,,,,
41,1975,,,,
41,1976,,,,
41,1977,,,,
41,1978,,,,
41,1979,,,,
41,1980,,,,
41,1981,,,,
41,1982,,,,
41,1983,,,,
41,1984,,,,
41,1985,,,,
41,1986,,,,
41,1987,,,,
41,1988,,,,
41,1989,,,,
41,1990,,,,
41,1991,,,,
41,1992,,,,
41,1993,,,,
41,1994,,,,
41,1995,,,,
41,1996,,,,
41,1997,,,,
41,1998,,,,
41,1999,,,,
41,2000,,,,
41,2001,,,,
41,2002,,,,
41,2003,,,,
41,2004,,,,
41,2005,,,,
41,2006,,,,
41,2007,,,,
41,2008,,,,
41,2009,,,,
41,2010,,,,
41,2011,,,,
41,2012,,,,
41,2013,,,,
41,2014,,,,
42,1970,,,,
42,1971,,,,
42,1972,,,,
42,1973,,,,
42,1974,,,,
42,1975,,,,
42,1976,,,,
42,1977,,,,
42,1978,,,,
42,1979,,,,
42,1980,,,,
42,1981,,,,
42,1982,,,,
42,1983,,,,
42,1984,,,,
42,1985,,,,
42,1986,,,,
42,1987,,,,
42,1988,,,,
42,1989,,,,
42,1990,,,,
42,1991,,,,
42,1992,,,,
42,1993,,,,
42,1994,,,,
42,1995,,,,
42,1996,,,,
42,1997,,,,
42,1998,,,,
42,1999,,,,
42,2000,,,,
42,2001,,,,
42,2002,,,,
42,2003,,,,
42,2004,,,,
42,2005,,,,
42,2006,,,,
42,2007,,,,
42,2008,,,,
42,2009,,,,
42,2010,,,,
42,2011,,,,
42,2012,,,,
42,2013,,,,
42,2014,,,,
51,1970,,,,
51,1971,,,,
51,1972,,,,
51,1973,,,,
51,1974,,,,
51,1975,,,,
51,1976,,,,
51,1977,,,,
51,1978,,,,
51,1979,,,,
51,1980,,,,
51,1981,,,,
51,1982,,,,
51,1983,,,,
51,1984,,,,
51,1985,,,,
51,1986,,,,
51,1987,,,,
51,1988,,,,
51,1989,,,,
51,1990,,,,
51,1991,,,,
51,1992,,,,
51,1993,,,,
51,1994,,,,
51,1995,,,,
51,1996,,,,
51,1997,,,,
51,1998,,,,
51,1999,,,,
51,2000,,,,
51,2001,,,,
51,2002,,,,
51,2003,,,,
51,2004,,,,
51,2005,,,,
51,2006,,,,
51,2007,,,,
51,2008,,,,
51,2009,,,,
51,2010,,,,
51,2011,,,,
51,2012,,,,
51,2013,,,,
51,2014,,,,
52,1970,,,,
52,1971,,,,
52,1972,,,,
52,1973,,,,
52,1974,,,,
52,1975,,,,
52,1976,,,,
52,1977,,,,
52,1978,,,,
52,1979,,,,
52,1980,,,,
52,1981,,,,
52,1982,,,,
52,1983,,,,
52,1984,,,,
52,1985,,,,
52,1986,,,,
52,1987,,,,
52,1988,,,,
52,1989,,,,
52,1990,,,,
52,1991,,,,
52,1992,,,,
52,1993,,,,
52,1994,,,,
52,1995,,,,
52,1996,,,,
52,1997,,,,
52,1998,,,,
52,1999,,,,
52,2000,,,,
52,2001,,,,
52,2002,,,,
52,2003,,,,
52,2004,,,,
52,2005,,,,
52,2006,,,,
52,2007,,,,
52,2008,,,,
52,2009,,,,
52,2010,,,,
52,2011,,,,
52,2012,,,,
52,2013,,,,
52,2014,,,,
53,1970,,,,
53,1971,,,,
53,1972,,,,
53,1973,,,,
53,1974,,,,
53,1975,,,,
53,1976,,,,
53,1977,,,,
53,1978,,,,
53,1979,,,,
53,1980,,,,
53,1981,,,,
53,1982,,,,
53,1983,,,,
53,1984,,,,
53,1985,,,,
53,1986,,,,
53,1987,,,,
53,1988,,,,
53,1989,,,,
53,1990,,,,
53,1991,,,,
53,1992,,,,
53,1993,,,,
53,1994,,,,
53,1995,,,,
53,1996,,,,
53,1997,,,,
53,1998,,,,
53,1999,,,,
53,2000,,,,
53,2001,,,,
53,2002,,,,
53,2003,,,,
53,2004,,,,
53,2005,,,,
53,2006,,,,
53,2007,,,,
53,2008,,,,
53,2009,,,,
53,2010,,,,
53,2011,,,,
53,2012,,,,
53,2013,,,,
53,2014,,,,
70,1970,17.071,0.8356807511737089,Institutional Revolutionary Party,1.0
70,1971,17.071,0.8356807511737089,Institutional Revolutionary Party,1.0
70,1972,17.071,0.8356807511737089,Institutional Revolutionary Party,1.0
70,1973,2.041,0.8181818181818182,Institutional Revolutionary Party,
70,1974,2.041,0.8181818181818182,Institutional Revolutionary Party,
70,1975,2.041,0.8181818181818182,Institutional Revolutionary Party,
70,1976,-28.161,0.826271186440678,Institutional Revolutionary Party,0.0
70,1977,-28.161,0.826271186440678,Institutional Revolutionary Party,0.0
70,1978,-28.161,0.826271186440678,Institutional Revolutionary Party,0.0
70,1979,-15.745,0.74,Institutional Revolutionary Party,0.0
70,1980,-15.745,0.74,Institutional Revolutionary Party,0.0
70,1981,-15.745,0.74,Institutional Revolutionary Party,0.0
70,1982,1.602,0.7475,Institutional Revolutionary Party,
70,1983,1.602,0.7475,Institutional Revolutionary Party,
70,1984,1.602,0.7475,Institutional Revolutionary Party,
70,1985,-7.366,0.7225,Institutional Revolutionary Party,
70,1986,-7.366,0.7225,Institutional Revolutionary Party,
70,1987,-7.366,0.7225,Institutional Revolutionary Party,
70,1988,-0.128,0.52,Institutional Revolutionary Party,
70,1989,-0.128,0.52,Institutional Revolutionary Party,
70,1990,-0.128,0.52,Institutional Revolutionary Party,
70,1991,-3.972,0.64,Institutional Revolutionary Party,
70,1992,-3.972,0.64,Institutional Revolutionary Party,
70,1993,-3.972,0.64,Institutional Revolutionary Party,
70,1994,-6.938,0.6,Institutional Revolutionary Party,
70,1995,-6.938,0.6,Institutional Revolutionary Party,
70,1996,-6.938,0.6,Institutional Revolutionary Party,
70,1997,-4.961,0.478,Institutional Revolutionary Party,
70,1998,-4.961,0.478,Institutional Revolutionary Party,
70,1999,-4.961,0.478,Institutional Revolutionary Party,
70,2000,7.726,0.422,Institutional Revolutionary Party,
70,2001,7.726,0.422,Institutional Revolutionary Party,
70,2002,7.726,0.422,Institutional Revolutionary Party,
70,2003,-9.637,0.448,Institutional Revolutionary Party,
70,2004,-9.637,0.448,Institutional Revolutionary Party,
70,2005,-9.637,0.448,Institutional Revolutionary Party,
70,2006,-0.784,0.412,Alliance for Change,
70,2007,-0.784,0.412,Alliance for Change,
70,2008,-0.784,0.412,Alliance for Change,
70,2009,-14.218,0.474,Institutional Revolutionary Party,0.0
70,2010,-14.218,0.474,Institutional Revolutionary Party,0.0
70,2011,-14.218,0.474,Institutional Revolutionary Party,0.0
70,2012,-20.064,0.424,Institutional Revolutionary Party,0.0
70,2013,-20.064,0.424,Institutional Revolutionary Party,0.0
70,2014,-20.064,0.424,Institutional Revolutionary Party,0.0
80,1981,,,,
80,1982,,,,
80,1983,,,,
80,1984,,,,
80,1985,,,,
80,1986,,,,
80,1987,,,,
80,1988,,,,
80,1989,,,,
80,1990,,,,
80,1991,,,,
80,1992,,,,
80,1993,,,,
80,1994,,,,
80,1995,,,,
80,1996,,,,
80,1997,,,,
80,1998,,,,
80,1999,,,,
80,2000,,,,
80,2001,,,,
80,2002,,,,
80,2003,,,,
80,2004,,,,
80,2005,,,,
80,2006,,,,
80,2007,,,,
80,2008,,,,
80,2009,,,,
80,2010,,,,
80,2011,,,,
80,2012,,,,
80,2013,,,,
80,2014,,,,
90,1970,,,,
90,1971,,,,
90,1972,,,,
90,1973,,,,
90,1974,,,,
90,1975,,,,
90,1976,,,,
90,1977,,,,
90,1978,,,,
90,1979,,,,
90,1980,,,,
90,1981,,,,
90,1982,,,,
90,1983,,,,
90,1984,,,,
90,1985,,,,
90,1986,,,,
90,1987,,,,
90,1988,,,,
90,1989,,,,
90,1990,,,,
90,1991,,,,
90,1992,,,,
90,1993,,,,
90,1994,,,,
90,1995,,,,
90,1996,,,,
90,1997,,,,
90,1998,,,,
90,1999,,,,
90,2000,,,,
90,2001,,,,
90,2002,,,,
90,2003,,,,
90,2004,,,,
90,2005,,,,
90,2006,,,,
90,2007,,,,
90,2008,,,,
90,2009,,,,
90,2010,,,,
90,2011,,,,
90,2012,,,,
90,2013,,,,
90,2014,,,,
91,1970,,,,
91,1971,,,,
91,1972,,,,
91,1973,,,,
91,1974,,,,
91,1975,,,,
91,1976,,,,
91,1977,,,,
91,1978,,,,
91,1979,,,,
91,1980,,,,
91,1981,,,,
91,1982,,,,
91,1983,,,,
91,1984,,,,
91,1985,,,,
91,1986,,,,
91,1987,,,,
91,1988,,,,
91,1989,,,,
91,1990,,,,
91,1991,,,,
91,1992,,,,
91,1993,,,,
91,1994,,,,
91,1995,,,,
91,1996,,,,
91,1997,,,,
91,1998,,,,
91,1999,,,,
91,2000,,,,
91,2001,,,,
91,2002,,,,
91,2003,,,,
91,2004,,,,
91,2005,,,,
91,2006,,,,
91,2007,,,,
91,2008,,,,
91,2009,,,,
91,2010,,,,
91,2011,,,,
91,2012,,,,
91,2013,,,,
91,2014,,,,
92,1970,,,,
92,1971,,,,
92,1972,,,,
92,1973,,,,
92,1974,,,,
92,1975,,,,
92,1976,,,,
92,1977,,,,
92,1978,,,,
92,1979,,,,
92,1980,,,,
92,1981,,,,
92,1982,,,,
92,1983,,,,
92,1984,,,,
92,1985,,,,
92,1986,,,,
92,1987,,,,
92,1988,,,,
92,1989,,,,
92,1990,,,,
92,1991,,,,
92,1992,,,,
92,1993,,,,
92,1994,,,,
92,1995,,,,
92,1996,,,,
92,1997,,,,
92,1998,,,,
92,1999,,,,
92,2000,,,,
92,2001,,,,
92,2002,,,,
92,2003,,,,
92,2004,,,,
92,2005,,,,
92,2006,,,,
92,2007,,,,
92,2008,,,,
92,2009,,,,
92,2010,,,,
92,2011,,,,
92,2012,,,,
92,2013,,,,
92,2014,,,,
93,1970,,,,
93,1971,,,,
93,1972,,,,
93,1973,,,,
93,1974,,,,
93,1975,,,,
93,1976,,,,
93,1977,,,,
93,1978,,,,
93,1979,,,,
93,1980,,,,
93,1981,,,,
93,1982,,,,
93,1983,,,,
93,1984,,,,
93,1985,,,,
93,1986,,,,
93,1987,,,,
93,1988,,,,
93,1989,,,,
93,1990,,,,
93,1991,,,,
93,1992,,,,
93,1993,,,,
93,1994,,,,
93,1995,,,,
93,1996,,,,
93,1997,,,,
93,1998,,,,
93,1999,,,,
93,2000,,,,
93,2001,,,,
93,2002,,,,
93,2003,,,,
93,2004,,,,
93,2005,,,,
93,2006,,,,
93,2007,,,,
93,2008,,,,
93,2009,,,,
93,2010,,,,
93,2011,,,,
93,2012,,,,
93,2013,,,,
93,2014,,,,
94,1970,,,,
94,1971,,,,
94,1972,,,,
94,1973,,,,
94,1974,,,,
94,1975,,,,
94,1976,,,,
94,1977,,,,
94,1978,,,,
94,1979,,,,
94,1980,,,,
94,1981,,,,
94,1982,,,,
94,1983,,,,
94,1984,,,,
94,1985,,,,
94,1986,,,,
94,1987,,,,
94,1988,,,,
94,1989,,,,
94,1990,,,,
94,1991,,,,
94,1992,,,,
94,1993,,,,
94,1994,,,,
94,1995,,,,
94,1996,,,,
94,1997,,,,
94,1998,,,,
94,1999,,,,
94,2000,,,,
94,2001,,,,
94,2002,,,,
94,2003,,,,
94,2004,,,,
94,2005,,,,
94,2006,,,,
94,2007,,,,
94,2008,,,,
94,2009,,,,
94,2010,,,,
94,2011,,,,
94,2012,,,,
94,2013,,,,
94,2014,,,,
95,1970,,,,
95,1971,,,,
95,1972,,,,
95,1973,,,,
95,1974,,,,
95,1975,,,,
95,1976,,,,
95,1977,,,,
95,1978,,,,
95,1979,,,,
95,1980,,,,
95,1981,,,,
95,1982,,,,
95,1983,,,,
95,1984,,,,
95,1985,,,,
95,1986,,,,
95,1987,,,,
95,1988,,,,
95,1989,,,,
95,1990,,,,
95,1991,,,,
95,1992,,,,
95,1993,,,,
95,1994,,,,
95,1995,,,,
95,1996,,,,
95,1997,,,,
95,1998,,,,
95,1999,,,,
95,2000,,,,
95,2001,,,,
95,2002,,,,
95,2003,,,,
95,2004,,,,
95,2005,,,,
95,2006,,,,
95,2007,,,,
95,2008,,,,
95,2009,,,,
95,2010,,,,
95,2011,,,,
95,2012,,,,
95,2013,,,,
95,2014,,,,
100,1970,,,,
100,1971,,,,
100,1972,,,,
100,1973,,,,
100,1974,,,,
100,1975,,,,
100,1976,,,,
100,1977,,,,
100,1978,,,,
100,1979,,,,
100,1980,,,,
100,1981,,,,
100,1982,,,,
100,1983,,,,
100,1984,,,,
100,1985,,,,
100,1986,,,,
100,1987,,,,
100,1988,,,,
100,1989,,,,
100,1990,,,,
100,1991,,,,
100,1992,,,,
100,1993,,,,
100,1994,,,,
100,1995,,,,
100,1996,,,,
100,1997,,,,
100,1998,,,,
100,1999,,,,
100,2000,,,,
100,2001,,,,
100,2002,,,,
100,2003,,,,
100,2004,,,,
100,2005,,,,
100,2006,,,,
100,2007,,,,
100,2008,,,,
100,2009,,,,
100,2010,,,,
100,2011,,,,
100,2012,,,,
100,2013,,,,
100,2014,,,,
101,1970,,,,
101,1971,,,,
101,1972,,,,
101,1973,,,,
101,1974,,,,
101,1975,,,,
101,1976,,,,
101,1977,,,,
101,1978,,,,
101,1979,,,,
101,1980,,,,
101,1981,,,,
101,1982,,,,
101,1983,,,,
101,1984,,,,
101,1985,,,,
101,1986,,,,
101,1987,,,,
101,1988,,,,
101,1989,,,,
101,1990,,,,
101,1991,,,,
101,1992,,,,
101,1993,,,,
101,1994,,,,
101,1995,,,,
101,1996,,,,
101,1997,,,,
101,1998,,,,
101,1999,,,,
101,2000,,,,
101,2001,,,,
101,2002,,,,
101,2003,,,,
101,2004,,,,
101,2005,,,,
101,2006,,,,
101,2007,,,,
101,2008,,,,
101,2009,,,,
101,2010,,,,
101,2011,,,,
101,2012,,,,
101,2013,,,,
101,2014,,,,
110,1970,,,,
110,1971,,,,
110,1972,,,,
110,1973,,,,
110,1974,,,,
110,1975,,,,
110,1976,,,,
110,1977,,,,
110,1978,,,,
110,1979,,,,
110,1980,,,,
110,1981,,,,
110,1982,,,,
110,1983,,,,
110,1984,,,,
110,1985,,,,
110,1986,,,,
110,1987,,,,
110,1988,,,,
110,1989,,,,
110,1990,,,,
110,1991,,,,
110,1992,,,,
110,1993,,,,
110,1994,,,,
110,1995,,,,
110,1996,,,,
110,1997,,,,
110,1998,,,,
110,1999,,,,
110,2000,,,,
110,2001,,,,
110,2002,,,,
110,2003,,,,
110,2004,,,,
110,2005,,,,
110,2006,,,,
110,2007,,,,
110,2008,,,,
110,2009,,,,
110,2010,,,,
110,2011,,,,
110,2012,,,,
110,2013,,,,
110,2014,,,,
115,1975,,,,
115,1976,,,,
115,1977,,,,
115,1978,,,,
115,1979,,,,
115,1980,,,,
115,1981,,,,
115,1982,,,,
115,1983,,,,
115,1984,,,,
115,1985,,,,
115,1986,,,,
115,1987,,,,
115,1988,,,,
115,1989,,,,
115,1990,,,,
115,1991,,,,
115,1992,,,,
115,1993,,,,
115,1994,,,,
115,1995,,,,
115,1996,,,,
115,1997,,,,
115,1998,,,,
115,1999,,,,
115,2000,,,,
115,2001,,,,
115,2002,,,,
115,2003,,,,
115,2004,,,,
115,2005,,,,
115,2006,,,,
115,2007,,,,
115,2008,,,,
115,2009,,,,
115,2010,,,,
115,2011,,,,
115,2012,,,,
115,2013,,,,
115,2014,,,,
130,1970,,,,
130,1971,,,,
130,1972,,,,
130,1973,,,,
130,1974,,,,
130,1975,,,,
130,1976,,,,
130,1977,,,,
130,1978,,,,
130,1979,,,,
130,1980,,,,
130,1981,,,,
130,1982,,,,
130,1983,,,,
130,1984,,,,
130,1985,,,,
130,1986,,,,
130,1987,,,,
130,1988,,,,
130,1989,,,,
130,1990,,,,
130,1991,,,,
130,1992,,,,
130,1993,,,,
130,1994,,,,
130,1995,,,,
130,1996,,,,
130,1997,,,,
130,1998,,,,
130,1999,,,,
130,2000,,,,
130,2001,,,,
130,2002,,,,
130,2003,,,,
130,2004,,,,
130,2005,,,,
130,2006,,,,
130,2007,,,,
130,2008,,,,
130,2009,,,,
130,2010,,,,
130,2011,,,,
130,2012,,,,
130,2013,,,,
130,2014,,,,
135,1970,,,,
135,1971,,,,
135,1972,,,,
135,1973,,,,
135,1974,,,,
135,1975,,,,
135,1976,,,,
135,1977,,,,
135,1978,,,,
135,1979,,,,
135,1980,,,,
135,1981,,,,
135,1982,,,,
135,1983,,,,
135,1984,,,,
135,1985,,,,
135,1986,,,,
135,1987,,,,
135,1988,,,,
135,1989,,,,
135,1990,,,,
135,1991,,,,
135,1992,,,,
135,1993,,,,
135,1994,,,,
135,1995,,,,
135,1996,,,,
135,1997,,,,
135,1998,,,,
135,1999,,,,
135,2000,,,,
135,2001,,,,
135,2002,,,,
135,2003,,,,
135,2004,,,,
135,2005,,,,
135,2006,,,,
135,2007,,,,
135,2008,,,,
135,2009,,,,
135,2010,,,,
135,2011,,,,
135,2012,,,,
135,2013,,,,
135,2014,,,,
140,1970,,,,
140,1971,,,,
140,1972,,,,
140,1973,,,,
140,1974,,,,
140,1975,,,,
140,1976,,,,
140,1977,,,,
140,1978,,,,
140,1979,,,,
140,1980,,,,
140,1981,,,,
140,1982,,,,
140,1983,,,,
140,1984,,,,
140,1985,,,,
140,1986,,,,
140,1987,,,,
140,1988,,,,
140,1989,,,,
140,1990,,,,
140,1991,,,,
140,1992,,,,
140,1993,,,,
140,1994,,,,
140,1995,,,,
140,1996,,,,
140,1997,,,,
140,1998,,,,
140,1999,,,,
140,2000,,,,
140,2001,,,,
140,2002,,,,
140,2003,,,,
140,2004,,,,
140,2005,,,,
140,2006,,,,
140,2007,,,,
140,2008,,,,
140,2009,,,,
140,2010,,,,
140,2011,,,,
140,2012,,,,
140,2013,,,,
140,2014,,,,
145,1970,,,,
145,1971,,,,
145,1972,,,,
145,1973,,,,
145,1974,,,,
145,1975,,,,
145,1976,,,,
145,1977,,,,
145,1978,,,,
145,1979,,,,
145,1980,,,,
145,1981,,,,
145,1982,,,,
145,1983,,,,
145,1984,,,,
145,1985,,,,
145,1986,,,,
145,1987,,,,
145,1988,,,,
145,1989,,,,
145,1990,,,,
145,1991,,,,
145,1992,,,,
145,1993,,,,
145,1994,,,,
145,1995,,,,
145,1996,,,,
145,1997,,,,
145,1998,,,,
145,1999,,,,
145,2000,,,,
145,2001,,,,
145,2002,,,,
145,2003,,,,
145,2004,,,,
145,2005,,,,
145,2006,,,,
145,2007,,,,
145,2008,,,,
145,2009,-13.401,0.676923076923077,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,0.0
145,2010,-13.401,0.676923076923077,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,0.0
145,2011,-13.401,0.676923076923077,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,0.0
145,2012,-13.401,0.676923076923077,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,0.0
145,2013,-13.401,0.676923076923077,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,0.0
145,2014,-17.41,0.676923076923077,Movement towards Socialism - Political Instrument for the Sovereignty of the Peoples,0.0
150,1970,,,,
150,1971,,,,
150,1972,,,,
150,1973,,,,
150,1974,,,,
150,1975,,,,
150,1976,,,,
150,1977,,,,
150,1978,,,,
150,1979,,,,
150,1980,,,,
150,1981,,,,
150,1982,,,,
150,1983,,,,
150,1984,,,,
150,1985,,,,
150,1986,,,,
150,1987,,,,
150,1988,,,,
150,1989,,,,
150,1990,,,,
150,1991,,,,
150,1992,,,,
150,1993,,,,
150,1994,,,,
150,1995,,,,
150,1996,,,,
150,1997,,,,
150,1998,,,,
150,1999,,,,
150,2000,,,,
150,2001,,,,
150,2002,,,,
150,2003,,,,
150,2004,,,,
150,2005,,,,
150,2006,,,,
150,2007,,,,
150,2008,,,,
150,2009,,,,
150,2010,,,,
150,2011,,,,
150,2012,,,,
150,2013,,,,
150,2014,,,,
155,1970,,,,
155,1971,,,,
155,1972,,,,
155,1973,,,,
155,1974,,,,
155,1975,,,,
155,1976,,,,
155,1977,,,,
155,1978,,,,
155,1979,,,,
155,1980,,,,
155,1981,,,,
155,1982,,,,
155,1983,,,,
155,1984,,,,
155,1985,,,,
155,1986,,,,
155,1987,,,,
155,1988,,,,
155,1989,-15.152,0.49166666666666664,Concert of Parties for Democracy,0.0
155,1990,-15.152,0.49166666666666664,Concert of Parties for Democracy,0.0
155,1991,-15.152,0.49166666666666664,Concert of Parties for Democracy,0.0
155,1992,-15.152,0.49166666666666664,Concert of Parties for Democracy,0.0
155,1993,-10.493,0.575,Concert of Parties for Democracy,0.0
155,1994,-10.493,0.575,Concert of Parties for Democracy,0.0
155,1995,-10.493,0.575,Concert of Parties for Democracy,0.0
155,1996,-10.493,0.575,Concert of Parties for Democracy,0.0
155,1997,-10.493,0.575,Concert of Parties for Democracy,0.0
155,1998,-10.493,0.575,Concert of Parties for Democracy,0.0
155,1999,-10.493,0.575,Concert of Parties for Democracy,0.0
155,2000,-10.493,0.575,Concert of Parties for Democracy,0.0
155,2001,-10.493,0.575,Concert of Parties for Democracy,0.0
